Term,ID,Definition,Term Type,Related Terms,Related To,Example
Healing + Creative + Interpersonal Facet,facet_healing_creative_interpersonal,"Expresses care and emotion (Healing + Interpersonal) through imagination and form (Creative). Found in expressive therapies, storytelling for healing, or emotion-driven creative work.",facet,,"healing_nature,creative_nature,trait_interplay,multiple_natures_framework",
Entrepreneurial + Administrative + Logical Facet,facet_entrepreneurial_administrative_logical,"A builder’s facet focused on efficiency, scalability, and impact. Merges initiative (Entrepreneurial), structure (Administrative), and precision (Logical). Often seen in operations leadership or startup strategy.",facet,,"entrepreneurial_nature,administrative_nature,logical_intelligence,trait_interplay,multiple_natures_framework",
Adventurous + Interpersonal + Entertaining Facet,facet_adventurous_interpersonal_entertaining,"Blends social daring (Adventurous), emotional tuning (Interpersonal), and energetic presence (Entertaining). Shows up in team motivators, morale boosters, or socially bold connectors.",facet,,"adventurous_nature,entertaining_nature,trait_interplay,multiple_natures_framework",
Healing + Administrative + Providing Facet,facet_healing_administrative_providing,"A caregiving facet focused on restoring well-being (Healing), supporting others’ needs (Providing), and doing so through structured systems (Administrative). Seen in roles like program coordinators in care-based contexts.",facet,,"healing_nature,administrative_nature,providing_nature,trait_interplay,multiple_natures_framework",
Creative + Educative + Interpersonal Facet,facet_creative_educative_interpersonal,"Combines imagination (Creative), relational sensitivity (Interpersonal), and a desire to help others grow (Educative). Often expressed through collaborative design, coaching, or experiential learning.",facet,,"creative_nature,educative_nature,trait_interplay,multiple_natures_framework",
Protective + Providing + Logical Facet,facet_protective_providing_logical,"Merges care and protection (Providing + Protective) with logic-based systems thinking (Logical). Often appears in roles where safeguarding others happens through structure, planning, or policy design.",facet,,"protective_nature,providing_nature,logical_intelligence,trait_interplay,multiple_natures_framework",
Creative + Healing + Administrative Facet,facet_creative_healing_administrative,"Combines the drive to heal (Healing), the ability to create new solutions (Creative), and the skill to structure them for consistent delivery (Administrative). Often expressed in programs that transform care into replicable systems.",facet,,"creative_nature,healing_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Educative + Adventurous + Providing Facet,facet_educative_adventurous_providing,"A facet combining teaching (Educative), support (Providing), and exploration (Adventurous). Tends to manifest in hands-on educators, workshop leaders, or community builders who guide others through novel experiences.",facet,,"educative_nature,adventurous_nature,providing_nature,trait_interplay,multiple_natures_framework",
Entertaining + Entrepreneurial + Logical Facet,facet_entertaining_entrepreneurial_logical,"A facet that unites initiative (Entrepreneurial), structure (Logical), and charisma (Entertaining). Shows up in people who rally attention behind systems or campaigns, often in media, branding, or engagement strategy.",facet,,"entertaining_nature,entrepreneurial_nature,logical_intelligence,trait_interplay,multiple_natures_framework",
Healing + Interpersonal + Administrative Facet,facet_healing_interpersonal_administrative,"A highly attuned, practical caregiver facet. Combines care (Healing), emotional sensing (Interpersonal), and system design (Administrative). Often expressed in care management, case coordination, or counseling program oversight.",facet,,"healing_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Protective + Educative + Logical Facet,facet_protective_educative_logical,"Merges the desire to instruct (Educative), ensure safety (Protective), and organize ideas (Logical). Often found in people who build and teach protective systems, standards, or legal/ethical frameworks.",facet,,"protective_nature,educative_nature,logical_intelligence,trait_interplay,multiple_natures_framework",
Creative + Entrepreneurial + Educative Facet,facet_creative_entrepreneurial_educative,"A builder-teacher facet. Driven by novelty (Creative), initiative (Entrepreneurial), and the desire to guide (Educative). Shows up in people who launch educational products, learning platforms, or self-developed teaching methods.",facet,,"creative_nature,entrepreneurial_nature,educative_nature,trait_interplay,multiple_natures_framework",
Providing + Interpersonal + Administrative Facet,facet_providing_interpersonal_administrative,"Combines warmth (Providing), emotional intelligence (Interpersonal), and logistical skill (Administrative). Often appears in team leads, coordinators, or relational service roles that require sensitivity and operational clarity.",facet,,"providing_nature,administrative_nature,trait_interplay,multiple_natures_framework",
Adventurous + Entertaining + Providing Facet,facet_adventurous_entertaining_providing,"A facet that brings energy (Adventurous), charm (Entertaining), and generosity (Providing). Shows up in field guides, hosts, or morale-boosters who actively care for people in dynamic environments.",facet,,"adventurous_nature,entertaining_nature,providing_nature,trait_interplay,multiple_natures_framework",
Entrepreneurial + Healing + Interpersonal Facet,facet_entrepreneurial_healing_interpersonal,"A change-making healer. Blends value-building (Entrepreneurial), care (Healing), and social resonance (Interpersonal). Often drives relationally-based ventures in health, coaching, or service.",facet,,"entrepreneurial_nature,healing_nature,trait_interplay,multiple_natures_framework",
High Creative + Low Administrative,facet_high_creative_low_administrative,"A highly imaginative person who struggles with structure, deadlines, or consistency. Ideas flow freely, but systems are avoided or resisted.",facet,,"creative_nature,administrative_nature,trait_expression,trait_suppression,multiple_natures_framework",
Creative + Administrative + Logical Facet,facet_creative_administrative_logical,"A systems-focused innovator. Combines idea generation (Creative), structure (Administrative), and analysis (Logical). Common in people who design processes, systems, or tools that are both useful and elegant.",,,,
High Protective + Low Interpersonal,facet_high_protective_low_interpersonal,"Strong defender energy with little emotional attunement. May enforce boundaries or rules rigidly, without reading the social-emotional context.",facet,,"protective_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Educative + Low Entertaining,facet_high_educative_low_entertaining,"Skilled at explaining, but flat or dry in delivery. May lose audiences due to lack of dynamic energy or charisma.",facet,,"educative_nature,entertaining_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Healing + Low Entrepreneurial,facet_high_healing_low_entrepreneurial,Deep care for others but low initiative or drive to build new structures around that care. Often gives 1:1 support but avoids scaling or leading ventures.,facet,,"healing_nature,entrepreneurial_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Adventurous + Low Providing,facet_high_adventurous_low_providing,Craves freedom and exploration but resists being tied down to others' needs. May abandon commitments or avoid support roles.,facet,,"adventurous_nature,providing_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Entrepreneurial + Low Healing,facet_high_entrepreneurial_low_healing,Drives initiatives with little emotional consideration. May launch projects without regard for people’s readiness or needs.,facet,,"entrepreneurial_nature,healing_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Administrative + Low Creative,facet_high_administrative_low_creative,"Extremely organized and structured, but resistant to change, innovation, or novelty. Tends to optimize existing systems over inventing new ones.",facet,,"administrative_nature,creative_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Entertaining + Low Intrapersonal,facet_high_entertaining_low_intrapersonal,"Energetic and attention-grabbing on the outside, but disconnected from inner feelings or self-awareness. May deflect reflection with performance.",facet,,"entertaining_nature,intrapersonal_intelligence,trait_expression,trait_suppression,multiple_natures_framework",
High Educative + Low Interpersonal,facet_high_educative_low_interpersonal,Skilled in concepts and explanations but insensitive to learners' emotional or relational needs. May come across as dry or disconnected.,facet,,"educative_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Logical + Low Healing,facet_high_logical_low_healing,"Exceptionally rational and structured, but with limited emotional capacity or empathy. May struggle in emotionally nuanced situations.",facet,,"logical_intelligence,healing_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Creative + Low Providing,facet_high_creative_low_providing,"Focused on self-expression and originality, but avoids service or supporting others. May neglect group needs in favor of personal vision.",facet,,"creative_nature,providing_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Entrepreneurial + Low Protective,facet_high_entrepreneurial_low_protective,Pushes initiatives and risks without sufficient risk assessment. May ignore safeguards or long-term stability in pursuit of quick wins.,facet,,"entrepreneurial_nature,protective_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Educative + Low Adventurous,facet_high_educative_low_adventurous,"Strong at explaining in safe, controlled spaces but avoids uncertainty or experiential modes of learning. May resist active exploration.",facet,,"educative_nature,adventurous_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Administrative + Low Interpersonal,facet_high_administrative_low_interpersonal,Exceptionally structured and efficient but cold or rigid with people. Tends to prioritize process over people.,facet,,"administrative_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Interpersonal + Low Logical,facet_high_interpersonal_low_logical,Emotionally connected but struggles with analysis or structured problem-solving. May avoid data or over-focus on feelings.,facet,,"logical_intelligence,trait_expression,trait_suppression,multiple_natures_framework",
High Protective + Low Adventurous,facet_high_protective_low_adventurous,Anchored in safety and stability; highly resistant to risk or exploration. Avoids new experiences or experimental environments.,facet,,"protective_nature,adventurous_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Healing + Low Administrative,facet_high_healing_low_administrative,Deeply nurturing but disorganized in delivery. May offer care without consistent follow-through or boundaries.,facet,,"healing_nature,administrative_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Creative + Low Interpersonal,facet_high_creative_low_interpersonal,"Generative and idea-rich, but struggles to relate those ideas to others. May express through isolated work or disconnected presentations.",facet,,"creative_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Entertaining + Low Logical,facet_high_entertaining_low_logical,"Engaging and fun, but lacks structure or logical sequencing in communication. May entertain without clarity or depth.",facet,,"entertaining_nature,logical_intelligence,trait_expression,trait_suppression,multiple_natures_framework",
High Providing + Low Entrepreneurial,facet_high_providing_low_entrepreneurial,Generous and supportive but lacks initiative or drive to build independently. Tends to wait for instructions or resist launching self-led projects.,facet,,"providing_nature,entrepreneurial_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Administrative + Low Creative,facet_high_administrative_low_creative,"Strong focus on structure and control, with limited tolerance for ambiguity or imaginative input. Often maintains systems but resists innovation or change.",facet,,"administrative_nature,creative_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Healing + Low Adventurous,facet_high_healing_low_adventurous,"Emotionally supportive but avoids exploration, risk, or experiential discovery. Often sticks with familiar, comfortable forms of care.",facet,,"healing_nature,adventurous_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Educative + Low Interpersonal,facet_high_educative_low_interpersonal,Strong desire to teach but may lack social attunement or sensitivity to learners’ emotional needs. Often too content-focused.,facet,,"educative_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Creative + Low Healing,facet_high_creative_low_healing,Generates ideas or experiences without attunement to emotional needs. May produce work that is impactful but emotionally disconnected or triggering.,facet,,"creative_nature,healing_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Protective + Low Adventurous,facet_high_protective_low_adventurous,"Oriented toward safety and stability, with resistance to novelty, change, or exploration. May block innovation out of fear of risk.",facet,,"protective_nature,adventurous_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Entrepreneurial + Low Providing,facet_high_entrepreneurial_low_providing,"Motivated to build or extract value, but with little concern for meeting others’ needs. May prioritize growth over care.",facet,,"entrepreneurial_nature,providing_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Interpersonal + Low Logical,facet_high_interpersonal_low_logical,"Emotionally connected and expressive, but lacking structure, analysis, or linear reasoning. May avoid systems and over-rely on social cues.",facet,,"logical_intelligence,trait_expression,trait_suppression,multiple_natures_framework",
High Logical + Low Entertaining,facet_high_logical_low_entertaining,"Precise, analytical, and structured, but struggles to engage others dynamically. May appear rigid, dry, or disengaged socially.",facet,,"logical_intelligence,entertaining_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Administrative + Low Healing,facet_high_administrative_low_healing,"Strong systems thinker but lacking warmth, empathy, or restorative energy. May create rigid structures without regard for people’s well-being.",facet,,"administrative_nature,healing_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Creative + Low Interpersonal,facet_high_creative_low_interpersonal,Idea-rich but disconnected from how others will receive or relate to those ideas. Often works in isolation or struggles to collaborate.,facet,,"creative_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Educative + Low Entrepreneurial,facet_high_educative_low_entrepreneurial,Desires to teach or guide but lacks the drive to launch or expand initiatives. May wait for others to initiate action.,facet,,"educative_nature,entrepreneurial_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Entertaining + Low Protective,facet_high_entertaining_low_protective,"Expressive and fun, but may neglect boundaries or safety. Often ignores signs of risk in favor of maintaining energy and attention.",facet,,"entertaining_nature,protective_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Logical + Low Intrapersonal,facet_high_logical_low_intrapersonal,Strong analytical thinker but disconnected from emotional self-awareness. May overlook inner signals or suppress introspection.,facet,,"logical_intelligence,intrapersonal_intelligence,trait_expression,trait_suppression,multiple_natures_framework",
High Entrepreneurial + Low Interpersonal,facet_high_entrepreneurial_low_interpersonal,"Results-driven and independent, but lacks relational sensitivity. May bulldoze others in pursuit of goals.",facet,,"entrepreneurial_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Healing + Low Entertaining,facet_high_healing_low_entertaining,"Deeply nurturing and quiet, but resistant to performance, energy, or social engagement. May avoid spotlight or lightness.",facet,,"healing_nature,entertaining_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Creative + Low Logical,facet_high_creative_low_logical,"Generates ideas intuitively or emotionally, but lacks systematization, planning, or logical follow-through. May appear chaotic or ungrounded.",facet,,"creative_nature,logical_intelligence,trait_expression,trait_suppression,multiple_natures_framework",
High Providing + Low Administrative,facet_high_providing_low_administrative,"Warm and giving but lacks structure, planning, or boundaries. May overextend or burn out due to disorganization.",facet,,"providing_nature,administrative_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Protective + Low Educative,facet_high_protective_low_educative,Prioritizes rules or safety but avoids explaining or guiding. May enforce boundaries without helping others understand them.,facet,,"protective_nature,educative_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Interpersonal + Low Entrepreneurial,facet_high_interpersonal_low_entrepreneurial,"Deeply connected to others but avoids risk-taking, building, or leading. May over-rely on relationships and resist stepping into action.",facet,,"entrepreneurial_nature,trait_expression,trait_suppression,multiple_natures_framework",
High Educative + Low Logical,facet_high_educative_low_logical,Skilled at communicating but imprecise or disorganized with structure. May teach from intuition or experience but avoid systems or frameworks.,facet,,"educative_nature,logical_intelligence,trait_expression,trait_suppression,multiple_natures_framework",
High Creative + High Educative + Low Administrative,facet_hi_creative_hi_educative_lo_administrative,"Generates compelling ideas and communicates them well but resists systems, structure, or sustained follow-through. May inspire learning without implementing support mechanisms or operational consistency.",facet,,"creative_nature,educative_nature,administrative_nature,trait_expression,trait_suppression,trait_interplay,multiple_natures_framework",
High Protective + High Logical + Low Interpersonal,facet_hi_protective_hi_logical_lo_interpersonal,"Applies rigorous systems thinking to safeguard people or systems, but lacks emotional attunement or relational finesse. May come across as cold or overly strict, even when intentions are well-meaning.",facet,,"protective_nature,logical_intelligence,trait_expression,trait_suppression,trait_interplay,multiple_natures_framework",
High Entrepreneurial + High Adventurous + Low Providing,facet_hi_entrepreneurial_hi_adventurous_lo_providing,"Bold and action-oriented, with a drive to explore and build, but little interest in slowing down to care for others’ needs. May pursue success at the expense of support or service.",facet,,"entrepreneurial_nature,adventurous_nature,providing_nature,trait_expression,trait_suppression,trait_interplay,multiple_natures_framework",
High Entertaining + High Creative + Low Logical,facet_hi_entertaining_hi_creative_lo_logical,Engaging and original but scattered or disorganized. Often highly expressive but struggles to structure ideas or communicate with precision.,facet,,"entertaining_nature,creative_nature,logical_intelligence,trait_expression,trait_suppression,trait_interplay,multiple_natures_framework",
High Healing + High Providing + Low Administrative,facet_hi_healing_hi_providing_lo_administrative,"Deeply nurturing and responsive to others’ needs, but lacks structure or boundaries. May over-give without systems in place for sustainability or protection.",facet,,"healing_nature,providing_nature,administrative_nature,trait_expression,trait_suppression,trait_interplay,multiple_natures_framework",
High Educative + High Interpersonal + Low Entrepreneurial,facet_hi_educative_hi_interpersonal_lo_entrepreneurial,"Relational and supportive in teaching and guiding, but hesitant to initiate ventures or take ownership of new ideas. May wait for permission or invitation before stepping forward.",facet,,"educative_nature,entrepreneurial_nature,trait_expression,trait_suppression,trait_interplay,multiple_natures_framework",
High Administrative + High Protective + Low Creative,facet_hi_administrative_hi_protective_lo_creative,"Exceptional at maintaining order and safety, but resistant to new ideas or experimentation. May block innovation in favor of security and procedural control.",facet,,"administrative_nature,protective_nature,creative_nature,trait_expression,trait_suppression,trait_interplay,multiple_natures_framework",
High Healing + High Interpersonal + Low Logical,facet_hi_healing_hi_interpersonal_lo_logical,"Emotionally deep and compassionate, but lacking in analytical or process-based thinking. May offer strong empathy without clear solutions or structured guidance.",facet,,"healing_nature,logical_intelligence,trait_expression,trait_suppression,trait_interplay,multiple_natures_framework",
High Entrepreneurial + High Logical + Low Intrapersonal,facet_hi_entrepreneurial_hi_logical_lo_intrapersonal,"Highly strategic and results-driven, but disconnected from self-awareness or emotional signals. May push initiatives forward without checking for internal alignment or burnout.",facet,,"entrepreneurial_nature,logical_intelligence,intrapersonal_intelligence,trait_expression,trait_suppression,trait_interplay,multiple_natures_framework",
High Adventurous + High Creative + Low Protective,facet_hi_adventurous_hi_creative_lo_protective,"Explores and invents boldly, but neglects risk mitigation or long-term stability. May push boundaries without thinking through consequences.",facet,,"adventurous_nature,creative_nature,protective_nature,trait_expression,trait_suppression,trait_interplay,multiple_natures_framework",
Alignment Mapper,alignment_mapper,"A reflective tool that helps individuals assess their current level of alignment across two axes: Trait Expression (Y-axis) and Situational Fit (X-axis). The Alignment Mapper provides a simple 1–10 scale for each axis, allowing users to plot their location on a 2x2 matrix. The resulting quadrant indicates the nature of their alignment or misalignment — such as “Aligned & Activated,” “Suppressed Potential,” “Performing Out of Pattern,” or “Chronic Misalignment.” This tool is not diagnostic; it’s a mirror to increase self-awareness and open possibilities for movement.",tool,,"alignment,trait_expression,situational_alignment,alignment_dynamics",
Menu of Life,menu_of_life,"The Menu of Life is a decision-making and self-alignment tool that helps individuals explore and organize life possibilities based on their natural traits — typically their Multiple Natures (MN) and Multiple Intelligences (MI) profile. Built on the metaphor of a restaurant menu, it categorizes opportunities into Appetizers, Main Courses, and Desserts to reflect different levels of energy investment, time commitment, and identity alignment. 

• Appetizers are low-commitment, high-experimentation options. These include part-time jobs, freelance gigs, volunteer roles, side hustles, or any activity that allows a person to test an interest without long-term risk. 

• Main Courses represent a person’s core career or full-time life path. These are the roles that demand the most energy and ideally align with their strongest, most easily expressed traits. A good Main Course is nourishing, sustainable, and built for long-term momentum. 

• Desserts are low-pressure, nourishing extras — hobbies, creative projects, rituals, or personal curiosities that bring joy and express underused traits. Desserts don’t need to be monetized or productive. They exist to feed the Tigers that may not get expression elsewhere. 

The Menu of Life helps people distribute their energy wisely, recognize that not all traits need to be expressed in the same way, and remove the pressure of “finding one perfect job.” It invites users to craft a life composed of multiple elements — a mix of nourishment, experimentation, and joy. 


This tool is especially effective post-assessment (e.g. after the MNTEST), where a person can see which traits are strongest, which are suppressed, and which might benefit from expression through different life categories. It is used in career counseling, coaching, self-alignment processes, and life design strategy.",tool,,"multiple_natures_framework,alignment,trait_expression,facet_role,trait_suppression",
Openness,openness,"The trait of being curious, imaginative, and open to new ideas, experiences, and abstract thinking. Reflects a comfort with novelty and ambiguity.",trait,"creativity,curiosity,imagination,flexibility,abstract_thinking","discovery_mode,trait_expression,alignment_dynamics",
Conscientiousness,conscientiousness,"The tendency to be organized, dependable, detail-oriented, and self-disciplined. Associated with careful planning and sustained effort.",trait,"Responsibility,Orderliness,Self-control,Discipline","mastery_mode,administrative_nature,trait_expression",
Extraversion,extraversion,"A trait marked by social energy, assertiveness, and enthusiasm. Extraverts feel energized by interaction and stimulation.",trait,"Sociability,Assertiveness,Talkativeness,Outgoingness","connection_mode,entertaining_nature,interpersonal_intelligence",
Agreeableness,agreeableness,"The tendency to be compassionate, cooperative, and concerned with social harmony. Associated with empathy and kindness.",trait,"Compassion,Cooperation,Warmth,Soft-heartedness","healing_nature,interpersonal_intelligence,trait_expression",
Neuroticism,neuroticism,"A tendency toward emotional instability, anxiety, mood swings, and reactivity. Reflects sensitivity to internal and external stressors.",trait,"Emotional Instability,Reactivity,Sensitivity,Anxiety","misalignment,reactivity,trait_suppression",
Creativity,creativity,"The capacity to generate original, novel, or divergent ideas or forms of expression.",trait_descriptor,"imagination,existential_intelligence","openness,creative_nature",
Curiosity,curiosity,"A desire to explore, inquire, and understand new or unknown phenomena.",trait_descriptor,"exploration,questioning","openness,discovery_mode",
Imagination,imagination,"The mental ability to form images, ideas, or concepts not present to the senses.",trait_descriptor,"creativity,fantasy",openness,
Flexibility,flexibility,The ability to adapt thinking or behavior to changing conditions or perspectives.,trait_descriptor,"adaptability,openmindedness","openness,alignment_dynamics",
Abstract Thinking,abstract_thinking,"The ability to think in symbolic, conceptual, or theoretical ways beyond concrete facts.",trait_descriptor,"pattern_recognition,conceptualization",openness,
Responsibility,responsibility,"The tendency to take ownership of duties, outcomes, and long-term commitments.",trait_descriptor,"duty,reliability","conscientiousness,mastery_mode",
Orderliness,orderliness,"A preference for structure, tidiness, and systematic organization.",trait_descriptor,"Cleanliness,Planning","conscientiousness,administrative_nature",
Self-control,self_control,"The ability to regulate impulses, emotions, and behaviors in pursuit of long-term goals.",trait_descriptor,"discipline,will_power",conscientiousness,
Discipline,discipline,"The capacity to sustain effort, attention, and structure over time.",trait_descriptor,"self_control,consistency","conscientiousness,mastery_mode",
Sociability,sociability,The ease and enjoyment of engaging with others socially.,trait_descriptor,"friendliness,approachability","extraversion,interpersonal_intelligence",
Assertiveness,assertiveness,"The ability to express thoughts, needs, or boundaries confidently and directly.",trait_descriptor,"confidence,boldness","extraversion,entertaining_nature",
Talkativeness,talkativeness,The tendency to speak frequently and freely in social contexts.,trait_descriptor,"expressiveness,outspokenness",extraversion,
Outgoingness,outgoingness,The preference for social environments and visible presence.,trait_descriptor,"sociability,boldness",extraversion,
Compassion,compassion,"A deep emotional response to others’ suffering, often motivating helpful action.",trait_descriptor,"empathy,kindness","agreeableness,healing_nature",
Cooperation,cooperation,The willingness to work with others in a harmonious and constructive way.,trait_descriptor,"teamwork,supportiveness","agreeableness,providing_nature",
Warmth,warmth,"A friendly, kind, and emotionally inviting presence.",trait_descriptor,"affection,softness","agreeableness,interpersonal_intelligence",
Soft-heartedness,soft_heartedness,"A gentle, empathetic nature that tends to avoid harshness or conflict.",trait_descriptor,"gentleness,sensitivity",agreeableness,
Emotional Instability,emotional_instability,"A tendency toward mood swings, volatility, or difficulty regulating emotions.",trait_descriptor,"sensitivity,lability","neuroticism,misalignment",
Reactivity,reactivity,The tendency to respond strongly or impulsively to emotional or environmental triggers.,trait_descriptor,"sensitivity,volatility",neuroticism,
Sensitivity,sensitivity,"A heightened awareness of, and response to, emotional or sensory stimuli.",trait_descriptor,"reactivity,vulnerability",neuroticism,
Anxiety,anxiety,"A persistent state of internal worry, nervousness, or tension — often future-oriented and hard to regulate.",trait_descriptor,"fear,worry,hyper_vigilence","neuroticism,misalignment",
Bodily-Kinesthetic Intelligence,bodily-kinesthetic_intelligence,"One of the original intelligences identified by Howard Gardner in his Multiple Intelligences theory. It refers to the capacity to control one’s body skillfully and handle objects with physical precision. Often seen in athletes, dancers, and hands-on learners who process through movement.",trait,"bodily_intelligence,gross_bodily_intelligence","trait_expression,alignment_dynamics",
Logical-Mathematical Intelligence,logical-mathematical_intelligence,"One of Gardner’s core intelligences in the MI model. It reflects the ability to use logic, reason, abstraction, and pattern recognition to solve problems. Strongly associated with scientific thinking, strategy, and structured problem-solving.",trait,"logical_intelligence,systems_thinking,analytical_thinking","trait_expression,discovery_mode",
Existential Intelligence,existential_intelligence,"A later addition to Gardner’s Multiple Intelligences theory, this intelligence reflects the capacity to contemplate deep philosophical and spiritual questions about existence, meaning, and purpose. Often seen in seekers, philosophers, and those drawn to transcendence.",trait,"spiritual_intelligence,metaphysical_curiosity","realization_mode,alignment_dynamics",
Bodily-Kinesthetic Intelligence,bodily-kinesthetic_intelligence,"One of the original intelligences identified by Howard Gardner in his Multiple Intelligences theory. It refers to the capacity to control one’s body skillfully and handle objects with physical precision. Often seen in athletes, dancers, and hands-on learners who process through movement.",trait,"bodily-kinesthetic_intelligence,gross_bodily_intelligence,physical_intelligence","trait_expression,alignment_dynamics",
Logical-Mathematical Intelligence,logical-mathematical_intelligence,"One of Gardner’s core intelligences in the MI model. It reflects the ability to use logic, reason, abstraction, and pattern recognition to solve problems. Strongly associated with scientific thinking, strategy, and structured problem-solving.",trait,"logical_intelligence,analytical_thinking",trait_expression,
Existential Intelligence,existential_intelligence,"A later addition to Gardner’s Multiple Intelligences theory, this intelligence reflects the capacity to contemplate deep philosophical and spiritual questions about existence, meaning, and purpose. Often seen in seekers, philosophers, and those drawn to transcendence.",trait,"spiritual_intelligence,metaphysical_curiosity",alignment_dynamics,
The Big Five,big_five_personality,"A foundational psychological framework organizing personality into five broad dimensions: Openness, Conscientiousness, Extraversion, Agreeableness, and Neuroticism. Derived from lexical and statistical studies, it is widely used in personality assessment and research.",Trait Theory,"five_factor_model,ocean_model",trait_expression,
OCEAN Model,ocean_model,"An acronym for the five Big Five traits: Openness, Conscientiousness, Extraversion, Agreeableness, and Neuroticism. Commonly used in trait profiling tools to describe major personality dimensions.",Trait Theory,"five_factor_model,big_five_personality","openness,conscientiousness,extraversion,agreeableness,neuroticism",
Five-Factor Model,five_factor_model,"The formal psychological term for the Big Five trait model, based on extensive statistical and lexical research. It describes personality along five broad, empirically validated dimensions: Openness, Conscientiousness, Extraversion, Agreeableness, and Neuroticism.",Trait Theory,"big_five_personality,ocean_model","trait_expression,ocean_model",
Systems Thinking,systems_thinking,"The cognitive capacity to understand systems as wholes — including their parts, relationships, feedback loops, and emergent properties. Enables cross-domain insight and long-range consequence mapping.",trait_descriptor,"Complexity Thinking,Holism,Strategic Integration","logical-mathematical_intelligence,alignment_dynamics",
Analytical Thinking,analytical_thinking,"The ability to break down complex information into smaller parts to understand structure, causality, or logic. Focuses on linear reasoning and component-based understanding.",trait_descriptor,"logical_intelligence,logical-mathematical_intelligence","logical-mathematical_intelligence,mastery_mode",
Spiritual Intelligence,spiritual_intelligence,"The ability to perceive, connect to, and operate from a sense of deep meaning, unity, or transcendent purpose. Often involves sensitivity to inner experience and existential truths.",trait,"existential_intelligence,metaphysical_curiosity",multiple_intelligences_theory_gardner,
Metaphysical Curiosity,metaphysical_curiosity,"A deep desire to explore the fundamental nature of reality, consciousness, and existence. Often shows up as philosophical questioning or intuitive inquiry beyond empirical frameworks.",trait_descriptor,"existential_intelligence,spiritual_intelligence",,
Physical Intelligence,physical_intelligence,"The ability to process information and solve problems using bodily experience — including coordination, balance, spatial awareness, and movement-based understanding.",trait,"bodily-kinesthetic_intelligence,gross_bodily_intelligence,fine_bodily_intelligence","bodily-kinesthetic_intelligence,trait_expression,multiple_intelligences_theory_rudolph,multiple_intelligences_theory_gardner",
Five-Factor Model,five_factor_model,"A widely accepted psychological framework describing personality in terms of five broad dimensions: Openness, Conscientiousness, Extraversion, Agreeableness, and Neuroticism. Often used in assessment.",framework,"big_five_personality,ocean_model",trait_expression,
MN,mn_abbreviation,"Common abbreviation for Multiple Natures, a framework that models intrinsic behavioral tendencies as distinct energetic drives (called “natures”). Used in shorthand and internal references.",abbreviation,"multiple_natures_theory,multiple_natures_natures,multiple_natures_framework","multiple_natures_theory,trait_expression",
MI,mi_abbreviation,"Abbreviation for Multiple Intelligences, a cognitive framework by Howard Gardner describing distinct types of mental processing capacities. Used in educational and profile contexts.",abbreviation,"multiple_intelligences_theory_rudolph,multiple_intelligences_theory_gardner",trait_expression,
AD,ad_abbreviation,"Abbreviation for Alignment Dynamics, a framework for understanding human behavior as a function of trait-context coherence, situational energy, and systemic flow.",abbreviation,alignment_dynamics,"alignment_dynamics,misalignment",
AX,ax_abbreviation,"Short form for Alignment Index, a diagnostic indicator reflecting the degree of coherence between traits and context at a given moment or over time. Used in assessments and feedback.",abbreviation,alignment_index,"alignment_dynamics,trait_alignment,situational_alignment",
AQ,aq_abbreviation,"Abbreviation for Alignment Intelligence, the ability to perceive, interpret, and respond to one’s own alignment state with awareness and adaptability. Core competency in self-guidance.",abbreviation,alignment_intelligence,"alignment_dynamics,recognition,trait_expression",
